FILM_ID,GENRE,R1_PLOT_SHAPE,R2_PLOT_SHAPE,R1_GOAL_TYPE,R2_GOAL_TYPE,R1_AGENCY,R2_AGENCY,R1_COOPERATIVENESS,R2_COOPERATIVENESS,R1_ASSERTIVENESS,R2_ASSERTIVENESS,MEAN_CRITIC_RATING,NET_PROFIT
1,1,1,1,1,1,1,2,2,2,1,1,78,2000000
2,1,1,4,2,2,3,3,3,3,2,2,86,10000000
3,1,2,2,1,2,3,2,3,3,1,1,91,3500000
4,1,4,4,1,1,2,2,2,2,1,1,67,1900000
5,1,1,1,2,2,2,2,1,1,2,2,75,12000000
6,1,4,4,1,1,2,2,2,2,2,2,82,15100000
7,1,4,4,1,1,1,3,2,2,3,3,49,17000000
8,1,1,1,2,2,2,2,2,2,2,2,82,31000000
9,1,4,4,1,1,2,2,2,2,2,3,85,22000000
10,1,4,4,1,1,1,1,3,3,2,2,73,29500000
11,1,4,4,2,2,1,3,1,1,1,1,51,16000000
12,1,4,4,2,2,2,3,1,1,2,2,68,17000000
13,1,1,1,1,2,1,1,2,3,3,3,65,16500000
14,1,1,4,1,1,2,2,2,2,3,3,73,28000000
15,1,1,1,2,2,3,2,3,3,2,2,79,11500000
16,1,1,1,2,2,2,2,2,2,1,3,76,26000000
17,1,1,1,2,2,2,2,2,2,1,1,72,23500000
18,1,2,2,1,1,1,1,2,2,2,2,74,1900000
19,1,4,1,1,2,1,1,3,3,3,3,81,46000000
20,1,3,3,2,2,3,3,3,3,2,2,83,50000000
21,1,1,1,1,1,2,2,3,3,2,2,76,26500000
22,1,1,1,2,2,2,3,3,3,1,1,71,14000000
23,1,4,4,1,1,1,1,1,1,1,1,50,105000000
24,1,4,1,1,1,2,2,2,2,2,2,86,100000000
25,1,1,1,2,1,2,2,2,2,3,3,74,1950000
26,1,1,4,2,2,1,1,3,3,3,3,61,1850000
27,1,4,4,1,1,1,1,2,2,2,2,68,2000000
28,1,1,1,2,2,1,2,2,2,2,2,78,9000000
29,1,4,4,1,1,2,2,2,2,1,1,73,7500000
30,1,3,3,1,1,3,3,3,3,1,1,82,26500000
31,1,1,1,2,2,2,2,3,3,2,2,86,40000000
32,1,1,1,1,1,2,2,3,3,1,2,81,8000000
33,1,1,4,2,1,2,2,3,2,2,2,86,8700000
34,1,1,1,1,1,2,1,2,2,2,2,85,8500000
35,1,1,1,2,2,1,1,3,3,2,2,63,9000000
36,1,1,1,2,2,3,3,2,2,1,1,80,7900000
37,1,1,1,1,1,2,2,2,2,2,1,84,8700000
38,2,3,3,2,2,1,1,3,3,1,1,52,3000000
39,2,1,1,1,1,1,1,3,3,1,1,67,5000000
40,2,1,1,2,2,3,3,3,3,2,2,75,6500000
41,2,1,1,2,2,3,3,3,3,1,1,55,2900000
42,2,4,4,1,1,2,2,2,2,2,2,59,3200000
43,2,1,1,1,1,1,1,3,3,2,1,71,11500000
44,2,4,4,2,2,2,2,2,2,2,2,63,9500000
45,2,4,1,1,1,2,2,3,3,1,1,62,8100000
46,2,4,4,1,1,3,3,1,2,1,1,69,9700000
47,2,1,1,1,1,2,2,2,2,2,2,81,16000000
48,2,1,1,2,2,1,1,3,3,3,1,65,3600000
49,2,4,4,1,1,1,3,2,2,2,2,73,10700000
50,2,1,1,2,2,1,1,2,2,1,1,58,2700000
51,2,4,4,2,2,2,2,1,1,1,1,70,11000000
52,2,4,4,2,1,3,3,2,2,2,1,78,1700000
53,2,1,1,2,2,1,1,3,3,1,1,61,7300000
54,2,1,1,1,1,1,1,2,2,1,2,64,7350000
55,2,4,4,1,1,2,2,2,2,2,2,72,13600000
56,2,4,1,1,1,1,1,1,1,1,1,85,21500000
57,2,4,4,2,2,3,3,1,1,2,2,76,14000000
58,2,4,4,1,1,1,1,2,2,1,1,77,1450000
59,2,1,1,1,1,1,1,3,3,1,1,73,6250000
60,2,1,1,1,1,3,3,2,2,2,2,64,4100000
61,3,2,2,1,1,2,2,3,3,2,2,67,20000000
62,3,1,1,1,1,2,2,2,2,3,3,72,30000000
63,3,1,1,1,1,1,2,2,2,2,2,74,32000000
64,3,4,4,2,2,1,1,3,3,1,1,86,65000000
65,3,3,3,1,1,1,1,1,1,2,1,93,120000000
66,3,4,4,1,1,1,1,1,1,2,2,65,60000000
67,3,1,1,2,1,2,2,3,2,1,1,75,15000000
68,3,3,3,2,2,3,3,3,3,2,3,78,16500000
69,3,4,4,1,1,3,2,2,2,3,3,69,3250000
70,3,1,1,1,1,2,2,2,2,2,2,75,11250000
71,3,1,1,1,1,1,1,1,1,1,1,76,16250000
72,4,4,4,1,1,3,3,3,3,3,3,90,90000000
73,4,4,4,1,1,3,3,2,2,3,3,88,65000000
74,4,1,1,2,2,3,3,2,2,3,2,89,72000000
75,4,1,1,2,2,2,2,3,3,3,3,82,35500000
76,4,4,4,1,1,1,2,2,2,2,2,78,29250000
77,4,1,1,2,2,2,2,3,3,2,2,56,40000000
78,4,4,4,1,1,3,2,2,2,3,3,86,200000000
79,4,4,1,2,2,2,2,2,2,2,2,49,50000000
80,4,4,4,1,1,3,3,1,1,2,2,75,37000000
81,4,4,4,2,2,2,2,3,3,3,2,59,29000000
82,4,4,4,1,1,2,2,2,2,2,2,64,29500000
83,4,1,1,2,2,1,1,3,3,2,2,51,21250000
84,4,1,1,1,1,3,3,3,3,3,3,90,350000000
85,4,4,4,2,2,2,2,1,2,2,2,69,38000000
86,4,1,1,2,2,2,3,2,2,3,3,68,30500000
87,4,1,1,1,1,3,3,2,2,2,2,78,100000000
88,4,1,1,2,2,1,1,3,3,1,2,46,50000000
89,4,1,4,2,1,2,2,1,1,2,2,57,2600000
90,4,1,1,1,1,2,2,2,2,3,3,75,36500000
91,4,4,4,1,1,2,2,1,1,3,3,82,300000000
92,4,1,1,1,1,1,1,3,3,2,2,65,29500000
93,4,4,4,2,2,3,3,2,2,2,3,76,41000000
94,4,4,4,1,1,3,3,1,1,3,3,78,62500000
95,4,1,1,2,2,1,1,3,3,2,2,71,33250000
96,4,1,1,1,1,2,2,3,3,3,3,79,39750000
97,4,1,1,1,1,3,3,1,1,2,2,64,24750000
98,4,4,4,1,1,1,1,2,2,2,2,59,17350000
99,4,4,4,1,1,1,1,2,2,3,3,53,12450000
100,4,4,1,2,2,3,3,3,3,2,2,86,71950000
101,4,1,1,2,2,1,1,3,3,3,3,65,2685000
102,4,4,4,2,2,2,2,2,2,2,2,73,34210000
103,4,1,1,1,1,1,1,1,1,3,3,58,4650000
104,4,1,1,2,2,2,2,3,3,2,2,76,33690000
105,4,4,4,1,1,3,3,1,1,2,2,79,81000000
106,4,4,4,2,2,1,1,2,2,3,3,67,12670000
107,4,4,4,1,1,3,3,2,2,3,3,92,349500000
108,4,1,1,2,2,1,1,1,1,3,3,62,9850000
109,4,4,4,1,1,3,1,3,3,2,2,87,81500000
110,4,1,1,2,2,3,3,3,3,3,3,90,325000000
111,4,4,4,2,2,1,1,2,2,3,3,47,56300000
112,4,1,1,1,1,2,2,1,1,3,3,76,39850000
113,4,4,4,1,1,1,1,2,2,2,2,56,24650000
114,4,4,4,1,1,3,3,1,1,2,2,74,41000000
115,4,1,1,1,1,1,1,2,2,3,3,46,6350000
116,4,1,1,2,2,3,3,1,1,3,3,59,4625000
117,4,1,1,1,1,3,2,1,1,3,2,51,2650000
118,4,4,4,2,2,1,1,3,3,3,3,54,27000000
119,4,1,1,1,1,3,3,1,1,2,2,68,28750000
120,4,4,4,2,2,3,3,3,3,3,3,83,64500000
121,4,4,4,1,1,1,1,2,2,3,3,67,51000000
122,4,4,4,1,1,3,3,3,3,3,3,92,260500000
123,4,1,1,1,1,3,3,2,2,2,2,69,49500000
124,4,1,1,2,2,2,2,1,1,2,2,65,26100000
125,4,4,4,1,1,3,2,3,3,3,3,89,150500000
