Time_sample,Sway_M1_sight_T1,Sway_M2_sight_T1,Sway_M3_sight_T1,Sway_M4_sight_T1,Sway_M1_sight_T2,Sway_M2_sight_T2,Sway_M3_sight_T2,Sway_M4_sight_T2,Sway_M1_sight_T3,Sway_M2_sight_T3,Sway_M3_sight_T3,Sway_M4_sight_T3,Sway_M1_nosight_T1,Sway_M2_nosight_T1,Sway_M3_nosight_T1,Sway_M4_nosight_T1,Sway_M1_nosight_T2,Sway_M2_nosight_T2,Sway_M3_nosight_T2,Sway_M4_nosight_T2,Sway_M1_nosight_T3,Sway_M2_nosight_T3,Sway_M3_nosight_T3,Sway_M4_nosight_T3
1,-8.6,-9.5,-10.1,-10.9,-8.2,-9,-9.5,-10.1,-8,-8.4,-8.5,-8.8,-8.4,-9.4,-9.9,-10.3,-8.2,-9.5,-10.9,-10,-8.5,-9.7,-10.4,-9.8
2,-5,-6.7,-8.9,-9.4,-4.9,-5.1,-5.4,-6,-4.8,-5,-5,-5.3,-6.1,-6,-6.8,-8.6,-8.1,-6.1,-7.8,-8.3,-6.2,-6.3,-7.8,-8.1
3,-2.3,-3.1,-5.4,-7.2,-2.1,-2.3,-2.6,-3.2,-2,-2.1,-2.2,-2.4,-3.4,-3.1,-4.2,-5.9,-5.4,-3.2,-5.2,-5.6,-3.5,-3.5,-4.8,-5.4
4,0,-1.4,-4.9,-5.1,0,0,-1.5,-2.1,0,0,0,0,0,-1.2,-2.9,-3.8,0,-1.3,-3.9,-3.5,0,-1.6,-3.5,-3.3
5,2.4,0,-2.3,-2.4,2.2,2.5,0,-0.6,2.1,2.2,2.2,2.5,2.9,0,-1.5,-1.2,0.9,0,-2.5,-0.7,3,0,-2.1,-0.5
6,5.2,1.7,0,-1.7,5.5,5.8,1.6,0,5.4,5.5,5.6,5.8,5.8,1.3,0,-0.5,3.8,1.4,0,-0.1,5.9,1.7,0,-0.1
7,8.7,3.5,2.6,0,8.6,9.5,2.7,-0.5,8.5,8.6,8.7,8.9,8.5,3.3,1.6,0,6.5,3.4,0.6,0,8.5,3.7,1,0
8,-8.6,7.1,5.1,1.9,-8.2,-9,5.5,-2,-8,-8.4,-8.5,-8.8,-8.4,6.4,3.3,0.9,-8.2,6.5,2.3,0.3,-8.5,6.8,2.7,0.5
9,-5,8.9,5.8,2.7,-4.9,-5.1,9.6,-3.1,-4.8,-5,-5,-5.3,-6.1,9.3,4.5,1.5,-8.1,9.4,3.5,1.2,-6.2,9.7,3.9,1.4
10,-2.3,-9.5,9.4,4.8,-2.1,-2.3,-9.5,-5,-2,-2.1,-2.2,-2.4,-3.4,-9.4,7,4,-5.4,-9.5,6,3.9,-3.5,-9.7,6.4,4.1
11,0,-6.7,11,7.3,0,0,-5.4,-10,0,0,0,0,0,-6,9.7,5.4,0,-6.1,8.7,5.5,0,-6.3,9.1,5.7
12,2.4,-3.1,-10.1,8.9,2.2,2.5,-2.6,-10.1,2.1,2.2,2.2,2.5,2.9,-3.1,-9.9,8.5,0.9,-3.2,-10.9,8.5,3,-3.5,-10.4,8.7
13,5.2,-1.4,-8.9,10.4,5.5,5.8,-1.5,-6,5.4,5.5,5.6,5.8,5.8,-1.2,-6.8,9.9,3.8,-1.3,-7.8,9.9,5.9,-1.6,-7.8,10.1
14,8.7,0,-5.4,-10.9,8.6,9.5,0,-3.2,8.5,8.6,8.7,8.9,8.5,0,-4.2,-10.3,6.5,0,-5.2,-10,8.5,0,-4.8,-9.8
15,-8.6,1.7,-4.9,-9.4,-8.2,-9,1.6,-2.1,-8,-8.4,-8.5,-8.8,-8.4,1.3,-2.9,-8.6,-8.2,1.4,-3.9,-8.3,-8.5,1.7,-3.5,-8.1
16,-5,3.5,-2.3,-7.2,-4.9,-5.1,2.7,-0.6,-4.8,-5,-5,-5.3,-6.1,3.3,-1.5,-5.9,-8.1,3.4,-2.5,-5.6,-6.2,3.7,-2.1,-5.4
17,-2.3,7.1,0,-5.1,-2.1,-2.3,5.5,0,-2,-2.1,-2.2,-2.4,-3.4,6.4,0,-3.8,-5.4,6.5,0,-3.5,-3.5,6.8,0,-3.3
18,0,8.9,2.6,-2.4,0,0,9.6,-0.5,0,0,0,0,0,9.3,1.6,-1.2,0,9.4,0.6,-0.7,0,9.7,1,-0.5
19,2.4,-9.5,5.1,-1.7,2.2,2.5,-9.5,-2,2.1,2.2,2.2,2.5,2.9,-9.4,3.3,-0.5,0.9,-9.5,2.3,-0.1,3,-9.7,2.7,-0.1
20,5.2,-6.7,5.8,0,5.5,5.8,-5.4,-3.1,5.4,5.5,5.6,5.8,5.8,-6,4.5,0,3.8,-6.1,3.5,0,5.9,-6.3,3.9,0
21,8.7,-3.1,9.4,1.9,8.6,9.5,-2.6,-5,8.5,8.6,8.7,8.9,8.5,-3.1,7,0.9,6.5,-3.2,6,0.3,8.5,-3.5,6.4,0.5
22,-8.6,-1.4,11,2.7,-8.2,-9,-1.5,-10,-8,-8.4,-8.5,-8.8,-8.4,-1.2,9.7,1.5,-8.2,-1.3,8.7,1.2,-8.5,-1.6,9.1,1.4
23,-5,0,-10.1,4.8,-4.9,-5.1,0,-10.1,-4.8,-5,-5,-5.3,-6.1,0,-9.9,4,-8.1,0,-10.9,3.9,-6.2,0,-10.4,4.1
24,-2.3,1.7,-8.9,7.3,-2.1,-2.3,1.6,-6,-2,-2.1,-2.2,-2.4,-3.4,1.3,-6.8,5.4,-5.4,1.4,-7.8,5.5,-3.5,1.7,-7.8,5.7
25,0,3.5,-5.4,8.9,0,0,2.7,-3.2,0,0,0,0,0,3.3,-4.2,8.5,0,3.4,-5.2,8.5,0,3.7,-4.8,8.7
26,2.4,7.1,-4.9,10.4,2.2,2.5,5.5,-2.1,2.1,2.2,2.2,2.5,2.9,6.4,-2.9,9.9,0.9,6.5,-3.9,9.9,3,6.8,-3.5,10.1
27,5.2,8.9,-2.3,-10.9,5.5,5.8,9.6,-0.6,5.4,5.5,5.6,5.8,5.8,9.3,-1.5,-10.3,3.8,9.4,-2.5,-10,5.9,9.7,-2.1,-9.8
28,8.7,-9.5,0,-9.4,8.6,9.5,-9.5,0,8.5,8.6,8.7,8.9,8.5,-9.4,0,-8.6,6.5,-9.5,0,-8.3,8.5,-9.7,0,-8.1
29,-8.6,-6.7,2.6,-7.2,-8.2,-9,-5.4,-0.5,-8,-8.4,-8.5,-8.8,-8.4,-6,1.6,-5.9,-8.2,-6.1,0.6,-5.6,-8.5,-6.3,1,-5.4
30,-5,-3.1,5.1,-5.1,-4.9,-5.1,-2.6,-2,-4.8,-5,-5,-5.3,-6.1,-3.1,3.3,-3.8,-8.1,-3.2,2.3,-3.5,-6.2,-3.5,2.7,-3.3
31,-2.3,-1.4,5.8,-2.4,-2.1,-2.3,-1.5,-3.1,-2,-2.1,-2.2,-2.4,-3.4,-1.2,4.5,-1.2,-5.4,-1.3,3.5,-0.7,-3.5,-1.6,3.9,-0.5
32,0,0,9.4,-1.7,0,0,0,-5,0,0,0,0,0,0,7,-0.5,0,0,6,-0.1,0,0,6.4,-0.1
33,2.4,1.7,11,0,2.2,2.5,1.6,-10,2.1,2.2,2.2,2.5,2.9,1.3,9.7,0,0.9,1.4,8.7,0,3,1.7,9.1,0
34,5.2,3.5,-10.1,1.9,5.5,5.8,2.7,-10.1,5.4,5.5,5.6,5.8,5.8,3.3,-9.9,0.9,3.8,3.4,-10.9,0.3,5.9,3.7,-10.4,0.5
35,8.7,7.1,-8.9,2.7,8.6,9.5,5.5,-6,8.5,8.6,8.7,8.9,8.5,6.4,-6.8,1.5,6.5,6.5,-7.8,1.2,8.5,6.8,-7.8,1.4
36,-8.6,8.9,-5.4,4.8,-8.2,-9,9.6,-3.2,-8,-8.4,-8.5,-8.8,-8.4,9.3,-4.2,4,-8.2,9.4,-5.2,3.9,-8.5,9.7,-4.8,4.1
37,-5,-9.5,-4.9,7.3,-4.9,-5.1,-9.5,-2.1,-4.8,-5,-5,-5.3,-6.1,-9.4,-2.9,5.4,-8.1,-9.5,-3.9,5.5,-6.2,-9.7,-3.5,5.7
38,-2.3,-6.7,-2.3,8.9,-2.1,-2.3,-5.4,-0.6,-2,-2.1,-2.2,-2.4,-3.4,-6,-1.5,8.5,-5.4,-6.1,-2.5,8.5,-3.5,-6.3,-2.1,8.7
39,0,-3.1,0,10.4,0,0,-2.6,0,0,0,0,0,0,-3.1,0,9.9,0,-3.2,0,9.9,0,-3.5,0,10.1
40,2.4,-1.4,2.6,-10.9,2.2,2.5,-1.5,-0.5,2.1,2.2,2.2,2.5,2.9,-1.2,1.6,-10.3,0.9,-1.3,0.6,-10,3,-1.6,1,-9.8
41,5.2,0,5.1,-9.4,5.5,5.8,0,-2,5.4,5.5,5.6,5.8,5.8,0,3.3,-8.6,3.8,0,2.3,-8.3,5.9,0,2.7,-8.1
42,8.7,1.7,5.8,-7.2,8.6,9.5,1.6,-3.1,8.5,8.6,8.7,8.9,8.5,1.3,4.5,-5.9,6.5,1.4,3.5,-5.6,8.5,1.7,3.9,-5.4
43,-8.6,3.5,9.4,-5.1,-8.2,-9,2.7,-5,-8,-8.4,-8.5,-8.8,-8.4,3.3,7,-3.8,-8.2,3.4,6,-3.5,-8.5,3.7,6.4,-3.3
44,-5,7.1,11,-2.4,-4.9,-5.1,5.5,-10,-4.8,-5,-5,-5.3,-6.1,6.4,9.7,-1.2,-8.1,6.5,8.7,-0.7,-6.2,6.8,9.1,-0.5
45,-2.3,8.9,-10.1,-1.7,-2.1,-2.3,9.6,-10.1,-2,-2.1,-2.2,-2.4,-3.4,9.3,-9.9,-0.5,-5.4,9.4,-10.9,-0.1,-3.5,9.7,-10.4,-0.1
46,0,-9.5,-8.9,0,0,0,-9.5,-6,0,0,0,0,0,-9.4,-6.8,0,0,-9.5,-7.8,0,0,-9.7,-7.8,0
47,2.4,-6.7,-5.4,1.9,2.2,2.5,-5.4,-3.2,2.1,2.2,2.2,2.5,2.9,-6,-4.2,0.9,0.9,-6.1,-5.2,0.3,3,-6.3,-4.8,0.5
48,5.2,-3.1,-4.9,2.7,5.5,5.8,-2.6,-2.1,5.4,5.5,5.6,5.8,5.8,-3.1,-2.9,1.5,3.8,-3.2,-3.9,1.2,5.9,-3.5,-3.5,1.4
49,8.7,-1.4,-2.3,4.8,8.6,9.5,-1.5,-0.6,8.5,8.6,8.7,8.9,8.5,-1.2,-1.5,4,6.5,-1.3,-2.5,3.9,8.5,-1.6,-2.1,4.1
50,-8.6,0,0,7.3,-8.2,-9,0,0,-8,-8.4,-8.5,-8.8,-8.4,0,0,5.4,-8.2,0,0,5.5,-8.5,0,0,5.7
51,-5,1.7,2.6,8.9,-4.9,-5.1,1.6,-0.5,-4.8,-5,-5,-5.3,-6.1,1.3,1.6,8.5,-8.1,1.4,0.6,8.5,-6.2,1.7,1,8.7
52,-2.3,3.5,5.1,10.4,-2.1,-2.3,2.7,-2,-2,-2.1,-2.2,-2.4,-3.4,3.3,3.3,9.9,-5.4,3.4,2.3,9.9,-3.5,3.7,2.7,10.1
53,0,7.1,5.8,-10.9,0,0,5.5,-3.1,0,0,0,0,0,6.4,4.5,-10.3,0,6.5,3.5,-10,0,6.8,3.9,-9.8
